iter	Passed	Remaining
427	1787	5357
428	1791	5352
429	1795	5348
430	1799	5344
431	1803	5339
432	1807	5334
433	1811	5329
434	1815	5324
435	1819	5319
436	1822	5314
437	1827	5309
438	1830	5304
439	1834	5300
440	1838	5294
441	1842	5290
442	1847	5286
443	1851	5283
444	1855	5279
445	1860	5275
446	1864	5270
447	1867	5266
448	1872	5261
449	1876	5257
450	1880	5253
451	1884	5248
452	1888	5244
453	1892	5240
454	1896	5235
455	1900	5231
456	1904	5226
457	1908	5222
458	1912	5217
459	1916	5213
460	1920	5208
461	1924	5203
462	1928	5198
463	1932	5193
464	1936	5189
465	1940	5184
466	1944	5180
467	1949	5176
468	1953	5172
469	1957	5167
470	1961	5163
471	1965	5159
472	1969	5154
473	1973	5150
474	1977	5146
475	1981	5141
476	1985	5137
477	1989	5132
478	1993	5127
479	1997	5123
480	2001	5119
481	2005	5114
482	2010	5110
483	2014	5106
484	2018	5101
485	2022	5097
486	2026	5092
487	2030	5088
488	2034	5084
489	2038	5079
490	2042	5076
491	2046	5071
492	2051	5068
493	2056	5065
494	2059	5060
495	2064	5056
496	2068	5052
497	2072	5047
498	2076	5043
499	2080	5038
500	2084	5034
501	2088	5030
502	2092	5025
503	2096	5020
504	2100	5016
505	2104	5012
506	2108	5008
507	2112	5003
508	2117	4999
509	2120	4993
510	2124	4990
511	2128	4985
512	2132	4980
513	2136	4975
514	2140	4970
515	2144	4966
516	2148	4962
517	2152	4957
518	2156	4953
519	2160	4949
520	2165	4945
521	2169	4940
522	2173	4936
523	2177	4932
524	2181	4927
525	2185	4923
526	2189	4919
527	2193	4914
528	2197	4910
529	2201	4906
530	2206	4902
531	2210	4898
532	2214	4894
533	2218	4890
534	2222	4885
535	2226	4880
536	2230	4876
537	2234	4871
538	2238	4866
539	2242	4862
540	2246	4859
541	2250	4854
542	2254	4849
543	2258	4844
544	2262	4839
545	2266	4835
546	2270	4832
547	2274	4827
548	2279	4824
549	2283	4819
550	2287	4815
551	2291	4810
552	2295	4806
553	2299	4802
554	2303	4797
555	2307	4794
556	2311	4789
557	2315	4785
558	2319	4780
559	2323	4776
560	2327	4771
561	2331	4767
562	2336	4763
563	2340	4759
564	2344	4755
565	2348	4750
566	2352	4746
567	2356	4742
568	2360	4738
569	2364	4733
570	2368	4729
571	2372	4724
572	2376	4720
573	2381	4716
574	2385	4713
575	2390	4709
576	2393	4704
577	2397	4699
578	2402	4696
579	2406	4692
580	2410	4687
581	2414	4683
582	2418	4679
583	2422	4675
584	2426	4670
585	2430	4665
586	2434	4661
587	2438	4656
588	2441	4651
589	2446	4647
590	2450	4643
591	2454	4639
592	2458	4634
593	2462	4630
594	2466	4626
595	2470	4622
596	2474	4618
597	2478	4613
598	2483	4609
599	2487	4605
600	2491	4601
601	2495	4597
602	2499	4593
603	2504	4589
604	2508	4584
605	2512	4580
606	2515	4575
607	2519	4571
608	2523	4566
609	2527	4562
610	2532	4558
611	2536	4555
612	2540	4550
613	2544	4546
614	2548	4542
615	2552	4538
616	2556	4533
617	2561	4529
618	2565	4526
619	2569	4522
620	2573	4517
621	2577	4513
622	2581	4509
623	2586	4504
624	2589	4500
625	2594	4496
626	2597	4491
627	2602	4487
628	2606	4483
629	2610	4478
630	2614	4474
631	2618	4471
632	2622	4466
633	2626	4462
634	2630	4458
635	2634	4453
636	2638	4449
637	2643	4445
638	2647	4440
639	2651	4436
640	2655	4432
641	2659	4428
642	2663	4423
643	2667	4419
644	2671	4415
645	2676	4412
646	2681	4409
647	2686	4406
648	2690	4403
649	2695	4399
650	2699	4396
651	2704	4392
652	2708	4388
653	2713	4386
654	2718	4382
655	2722	4378
656	2726	4374
657	2731	4370
658	2735	4366
659	2739	4362
660	2744	4359
661	2748	4355
662	2752	4351
663	2757	4347
664	2761	4343
665	2765	4339
666	2770	4336
667	2774	4332
668	2778	4328
669	2783	4324
670	2787	4319
671	2791	4316
672	2796	4313
673	2800	4309
674	2805	4305
675	2809	4301
676	2813	4296
677	2817	4292
678	2821	4287
679	2825	4283
680	2829	4279
681	2833	4274
682	2837	4270
683	2840	4265
684	2844	4261
685	2848	4256
686	2852	4252
687	2856	4247
688	2860	4242
689	2864	4239
690	2868	4234
691	2872	4229
692	2876	4225
693	2880	4220
694	2884	4216
695	2888	4211
696	2892	4207
697	2896	4203
698	2899	4198
699	2903	4193
700	2907	4189
701	2911	4184
702	2915	4180
703	2919	4175
704	2923	4171
705	2927	4166
706	2931	4162
707	2935	4158
708	2939	4154
709	2943	4149
710	2947	4145
711	2951	4141
712	2955	4136
713	2959	4132
714	2963	4128
715	2967	4123
716	2971	4119
717	2975	4115
718	2979	4110
719	2983	4106
720	2987	4101
721	2991	4097
722	2995	4092
723	2998	4088
724	3002	4083
725	3006	4079
726	3010	4074
727	3014	4070
728	3018	4065
729	3022	4061
730	3026	4057
731	3030	4052
732	3033	4048
733	3037	4043
734	3041	4039
735	3045	4035
736	3049	4030
737	3053	4026
738	3057	4021
739	3061	4017
740	3065	4012
741	3069	4008
742	3073	4004
743	3077	3999
744	3081	3995
745	3085	3990
746	3088	3986
747	3092	3981
748	3097	3977
749	3100	3973
750	3105	3969
751	3108	3964
752	3112	3960
753	3116	3955
754	3121	3952
755	3124	3947
756	3128	3943
757	3132	3938
758	3136	3934
759	3140	3929
760	3144	3925
761	3148	3921
762	3152	3917
763	3156	3912
764	3160	3908
765	3165	3904
766	3169	3900
767	3173	3896
768	3177	3892
769	3181	3888
770	3185	3884
771	3189	3879
772	3194	3876
773	3198	3871
774	3202	3867
775	3206	3863
776	3210	3859
777	3214	3855
778	3218	3850
779	3222	3846
780	3226	3841
781	3230	3837
782	3233	3832
783	3237	3828
784	3242	3824
785	3246	3820
786	3250	3815
787	3254	3811
788	3258	3807
789	3262	3803
790	3266	3799
791	3270	3794
792	3274	3790
793	3278	3786
794	3282	3781
795	3286	3777
796	3290	3773
797	3294	3769
798	3298	3765
799	3302	3760
800	3306	3756
801	3310	3752
802	3314	3748
803	3318	3743
804	3322	3739
805	3327	3735
806	3331	3731
807	3334	3727
808	3339	3722
809	3342	3718
810	3347	3714
811	3350	3709
812	3354	3705
813	3358	3701
814	3362	3697
815	3366	3692
816	3370	3688
817	3374	3684
818	3378	3679
819	3382	3675
820	3386	3671
821	3390	3666
822	3394	3663
823	3398	3658
824	3402	3654
825	3406	3649
826	3410	3645
827	3414	3641
828	3418	3636
829	3422	3632
830	3426	3628
831	3429	3623
832	3433	3619
833	3437	3615
834	3442	3611
835	3446	3606
836	3450	3602
837	3453	3598
838	3458	3594
839	3462	3589
840	3466	3585
841	3470	3581
842	3474	3577
843	3478	3573
844	3482	3569
845	3486	3564
846	3490	3560
847	3494	3556
848	3498	3552
849	3502	3547
850	3506	3543
851	3510	3539
852	3514	3535
853	3518	3531
854	3522	3527
855	3527	3522
856	3531	3518
857	3534	3514
858	3538	3509
859	3542	3505
860	3546	3501
861	3550	3497
862	3554	3492
863	3559	3489
864	3563	3485
865	3567	3480
866	3571	3476
867	3575	3472
868	3579	3468
869	3583	3464
870	3587	3460
871	3591	3456
872	3595	3451
873	3599	3447
874	3603	3443
875	3607	3438
876	3611	3434
877	3615	3430
878	3619	3426
879	3624	3422
880	3627	3417
881	3631	3413
882	3635	3409
883	3639	3405
884	3643	3400
885	3647	3396
886	3651	3392
887	3656	3388
888	3661	3385
889	3665	3381
890	3669	3377
891	3673	3373
892	3678	3369
893	3682	3365
894	3686	3361
895	3691	3357
896	3695	3353
897	3699	3349
898	3703	3344
899	3707	3340
900	3711	3336
901	3715	3332
902	3719	3327
903	3722	3323
904	3726	3319
905	3730	3315
906	3735	3310
907	3739	3306
908	3742	3302
909	3747	3298
910	3751	3294
911	3755	3290
912	3760	3286
913	3764	3282
914	3768	3278
915	3773	3274
916	3777	3271
917	3782	3267
918	3786	3263
919	3790	3259
920	3795	3255
921	3799	3251
922	3803	3247
923	3807	3243
924	3811	3239
925	3816	3234
926	3820	3230
927	3824	3226
928	3828	3222
929	3833	3219
930	3837	3215
931	3842	3211
932	3846	3207
933	3850	3203
934	3855	3199
935	3859	3195
936	3864	3192
937	3869	3188
938	3873	3184
939	3877	3180
940	3882	3176
941	3886	3173
942	3891	3169
943	3896	3165
944	3900	3161
945	3904	3157
946	3909	3153
947	3913	3149
948	3918	3145
949	3922	3142
950	3927	3138
951	3931	3134
952	3936	3131
953	3940	3127
954	3945	3123
955	3949	3119
956	3953	3115
957	3958	3111
958	3962	3107
959	3967	3103
960	3971	3099
961	3976	3095
962	3980	3091
963	3984	3087
964	3989	3083
965	3993	3079
966	4001	3078
967	4006	3075
968	4011	3071
969	4017	3068
970	4022	3065
971	4026	3061
972	4031	3057
973	4036	3053
974	4040	3050
975	4044	3046
976	4049	3042
977	4055	3039
978	4060	3036
979	4065	3032
980	4069	3028
981	4074	3024
982	4078	3020
983	4082	3016
984	4086	3011
985	4090	3007
986	4094	3003
987	4098	2999
988	4102	2994
989	4105	2990
990	4110	2986
991	4114	2982
992	4118	2977
993	4122	2973
994	4126	2969
995	4130	2965
996	4134	2960
997	4137	2956
998	4142	2952
999	4146	2947
1000	4150	2943
1001	4153	2939
1002	4157	2934
1003	4162	2930
1004	4166	2926
1005	4170	2922
1006	4174	2918
1007	4178	2913
1008	4181	2909
1009	4185	2905
1010	4189	2900
1011	4193	2896
1012	4197	2892
1013	4201	2888
1014	4205	2883
1015	4209	2879
1016	4213	2875
1017	4217	2870
1018	4221	2866
1019	4225	2862
1020	4229	2858
1021	4233	2853
1022	4237	2849
1023	4241	2845
1024	4245	2841
1025	4249	2836
1026	4253	2832
1027	4257	2828
1028	4260	2824
1029	4264	2819
1030	4269	2815
1031	4273	2811
1032	4276	2807
1033	4280	2802
1034	4284	2798
1035	4288	2794
1036	4292	2790
1037	4296	2785
1038	4301	2781
1039	4305	2777
1040	4309	2773
1041	4313	2769
1042	4317	2764
1043	4321	2760
1044	4325	2756
1045	4329	2752
1046	4333	2748
1047	4337	2744
1048	4341	2739
1049	4345	2735
1050	4349	2731
1051	4353	2727
1052	4357	2722
1053	4361	2718
1054	4365	2714
1055	4369	2710
1056	4373	2705
1057	4377	2701
1058	4380	2697
1059	4384	2693
1060	4388	2688
1061	4392	2684
1062	4396	2680
1063	4400	2675
1064	4404	2671
1065	4408	2667
1066	4412	2662
1067	4416	2658
1068	4419	2654
1069	4423	2650
1070	4427	2645
1071	4431	2641
1072	4435	2637
1073	4439	2633
1074	4443	2629
1075	4447	2624
1076	4452	2620
1077	4456	2616
1078	4460	2612
1079	4464	2608
1080	4468	2604
1081	4472	2600
1082	4476	2595
1083	4480	2591
1084	4485	2587
1085	4489	2583
1086	4493	2579
1087	4497	2575
1088	4500	2570
1089	4504	2566
1090	4509	2562
1091	4512	2558
1092	4516	2553
1093	4520	2549
1094	4525	2545
1095	4529	2541
1096	4532	2537
1097	4536	2532
1098	4541	2528
1099	4545	2524
1100	4549	2520
1101	4553	2516
1102	4557	2511
1103	4560	2507
1104	4565	2503
1105	4569	2499
1106	4573	2495
1107	4576	2490
1108	4580	2486
1109	4584	2482
1110	4588	2477
1111	4592	2473
1112	4596	2469
1113	4600	2465
1114	4604	2461
1115	4608	2457
1116	4612	2452
1117	4616	2448
1118	4621	2444
1119	4625	2440
1120	4629	2436
1121	4634	2432
1122	4638	2428
1123	4642	2424
1124	4647	2420
1125	4651	2416
1126	4656	2412
1127	4660	2408
1128	4664	2404
1129	4669	2400
1130	4672	2396
1131	4676	2392
1132	4681	2388
1133	4685	2383
1134	4689	2379
1135	4693	2375
1136	4697	2371
1137	4702	2367
1138	4705	2363
1139	4709	2359
1140	4713	2354
1141	4717	2350
1142	4722	2346
1143	4726	2342
1144	4730	2338
1145	4734	2334
1146	4738	2329
1147	4742	2325
1148	4746	2321
1149	4750	2317
1150	4754	2313
1151	4757	2308
1152	4761	2304
1153	4765	2300
1154	4769	2296
1155	4773	2291
1156	4777	2287
1157	4781	2283
1158	4785	2279
1159	4789	2275
1160	4793	2271
1161	4797	2266
1162	4802	2262
1163	4806	2258
1164	4810	2254
1165	4814	2250
1166	4817	2245
1167	4821	2241
1168	4825	2237
1169	4829	2233
1170	4833	2229
1171	4837	2224
1172	4841	2220
1173	4845	2216
1174	4849	2212
1175	4853	2208
1176	4857	2203
1177	4861	2199
1178	4865	2195
1179	4870	2191
1180	4874	2187
1181	4878	2183
1182	4882	2179
1183	4886	2174
1184	4889	2170
1185	4893	2166
1186	4897	2162
1187	4901	2157
1188	4905	2153
1189	4909	2149
1190	4913	2145
1191	4917	2141
1192	4921	2136
1193	4925	2132
1194	4929	2128
1195	4933	2124
1196	4937	2120
1197	4941	2115
1198	4945	2111
1199	4949	2107
1200	4953	2103
1201	4957	2099
1202	4961	2095
1203	4965	2090
1204	4969	2086
1205	4973	2082
1206	4977	2078
1207	4981	2074
1208	4985	2070
1209	4989	2066
1210	4993	2061
1211	4997	2057
1212	5001	2053
1213	5005	2049
1214	5009	2045
1215	5013	2040
1216	5017	2036
1217	5021	2032
1218	5025	2028
1219	5029	2024
1220	5033	2019
1221	5037	2015
1222	5041	2011
1223	5045	2007
1224	5049	2003
1225	5053	1999
1226	5057	1994
1227	5061	1990
1228	5065	1986
1229	5069	1982
1230	5073	1978
1231	5077	1974
1232	5081	1970
1233	5085	1965
1234	5089	1961
1235	5093	1957
1236	5097	1953
1237	5101	1948
1238	5104	1944
1239	5109	1940
1240	5113	1936
1241	5117	1932
1242	5121	1928
1243	5125	1924
1244	5129	1919
1245	5133	1915
1246	5137	1911
1247	5141	1907
1248	5145	1903
1249	5149	1899
1250	5153	1894
1251	5157	1890
1252	5161	1886
1253	5165	1882
1254	5169	1878
1255	5173	1874
1256	5177	1870
1257	5181	1865
1258	5185	1861
1259	5189	1857
1260	5193	1853
1261	5197	1849
1262	5201	1845
1263	5205	1840
1264	5209	1836
1265	5213	1832
1266	5217	1828
1267	5221	1824
1268	5225	1820
1269	5229	1815
1270	5233	1811
1271	5236	1807
1272	5240	1803
1273	5244	1798
1274	5248	1794
1275	5252	1790
1276	5256	1786
1277	5260	1782
1278	5264	1778
1279	5268	1773
1280	5272	1769
1281	5276	1765
1282	5280	1761
1283	5284	1757
1284	5288	1753
1285	5291	1748
1286	5295	1744
1287	5299	1740
1288	5303	1736
1289	5306	1731
1290	5310	1727
1291	5314	1723
1292	5318	1719
1293	5322	1715
1294	5326	1711
1295	5330	1706
1296	5334	1702
1297	5338	1698
1298	5341	1694
1299	5345	1690
1300	5349	1685
1301	5353	1681
1302	5357	1677
1303	5360	1673
1304	5364	1669
1305	5368	1664
1306	5372	1660
1307	5375	1656
1308	5379	1652
1309	5383	1647
1310	5387	1643
1311	5391	1639
1312	5394	1635
1313	5398	1631
1314	5402	1627
1315	5406	1622
1316	5410	1618
1317	5414	1614
1318	5418	1610
1319	5421	1606
1320	5425	1601
1321	5429	1597
1322	5433	1593
1323	5437	1589
1324	5441	1585
1325	5444	1580
1326	5449	1576
1327	5452	1572
1328	5456	1568
1329	5460	1564
1330	5464	1560
1331	5468	1555
1332	5472	1551
1333	5476	1547
1334	5480	1543
1335	5484	1539
1336	5488	1535
1337	5493	1531
1338	5496	1527
1339	5500	1522
1340	5504	1518
1341	5507	1514
1342	5511	1510
1343	5515	1506
1344	5519	1501
1345	5523	1497
1346	5526	1493
1347	5530	1489
