iter	RMSE
271	0.180294974
272	0.1802158548
273	0.1801065807
274	0.1799942466
275	0.1799079295
276	0.1797947353
277	0.179694902
278	0.1796269041
279	0.1794800784
280	0.179389832
281	0.1793071819
282	0.1792070784
283	0.1791109388
284	0.1789956759
285	0.1788759877
286	0.1787663872
287	0.1786457113
288	0.1785864334
289	0.178492941
290	0.1783934972
291	0.1783020586
292	0.178223235
293	0.1781516712
294	0.1780431021
295	0.1779824893
296	0.1778767075
297	0.1777706283
298	0.1776833965
299	0.1775650407
300	0.1774935626
301	0.1774129921
302	0.1773018789
303	0.1772156299
304	0.1771204441
305	0.1770559006
306	0.1768959065
307	0.1768324032
308	0.1767515183
309	0.1766433047
310	0.176577175
311	0.1765165425
312	0.1764361587
313	0.1763305825
314	0.1762330608
315	0.1761149857
316	0.1760647987
317	0.1759800604
318	0.1758808879
319	0.1757513609
320	0.1756809093
321	0.175582995
322	0.175460867
323	0.1753672491
324	0.1753006118
325	0.1751343542
326	0.1750261209
327	0.1749354788
328	0.1748673053
329	0.1747779355
330	0.1746914455
331	0.1745908964
332	0.1745088305
333	0.1744284829
334	0.17433966
335	0.1742434937
336	0.1741905281
337	0.1741182375
338	0.1740019992
339	0.173921283
340	0.1738067207
341	0.1737535295
342	0.1737040028
343	0.1735966607
344	0.1734974274
345	0.1734206941
346	0.1733475555
347	0.1732529895
348	0.1731835279
349	0.1730941452
350	0.1730289755
351	0.1728994688
352	0.1728131425
353	0.1727629981
354	0.1726325165
355	0.172533151
356	0.1724212385
357	0.1723129158
358	0.1722277663
359	0.1721572486
360	0.1720870586
361	0.1720184398
362	0.1719194929
363	0.1718593818
364	0.1717388144
365	0.1716598485
366	0.1715655574
367	0.1714722662
368	0.1713832848
369	0.1712885657
370	0.1712161026
371	0.1711316639
372	0.1710439353
373	0.1709777702
374	0.1708908738
375	0.1707633053
376	0.1706642708
377	0.1705433649
378	0.1704452483
379	0.1703079347
380	0.1702290984
381	0.1701308025
382	0.1699911754
383	0.1698634101
384	0.1698092664
385	0.1696816532
386	0.1695989971
387	0.1695222736
388	0.1694411306
389	0.1693485623
390	0.1692360529
391	0.1691542589
392	0.1690459214
393	0.1689136931
394	0.1688415598
395	0.1687057352
396	0.1686250013
397	0.1685349203
398	0.1684490701
399	0.1683601922
400	0.1682540421
401	0.1681648243
402	0.1680883622
403	0.1679838602
404	0.1678769716
405	0.1677948776
406	0.1676853195
407	0.1675594486
408	0.1674778719
409	0.1673866689
410	0.1672697363
411	0.1671852422
412	0.1670962348
413	0.1670080433
414	0.166943384
415	0.166864566
416	0.1668134849
417	0.1667201483
418	0.1666443234
419	0.1665848277
420	0.1665192814
421	0.1664168618
422	0.1663200518
423	0.1662260516
424	0.1661472817
425	0.1660628829
426	0.1659630155
427	0.165885866
428	0.1658232395
429	0.1657418778
430	0.1656335917
431	0.1655553921
432	0.1654718671
433	0.1653793691
434	0.1652174196
435	0.1651360707
436	0.1650647094
437	0.1649565996
438	0.1648402105
439	0.1647454338
440	0.1646673413
441	0.1646016297
442	0.1645269334
443	0.1644468917
444	0.1643856433
445	0.1642712271
446	0.1641264548
447	0.1640671856
448	0.1639778446
449	0.1638748175
450	0.1637856075
451	0.163684037
452	0.1635432829
453	0.1634849572
454	0.1633830026
455	0.1633134947
456	0.1632392018
457	0.1631744127
458	0.1631196971
459	0.1630223398
460	0.1629205428
461	0.1628232859
462	0.1627404977
463	0.1626075103
464	0.1625220899
465	0.1624103034
466	0.1623203748
467	0.1622375731
468	0.1621839239
469	0.1621225614
470	0.1620414299
471	0.1619416258
472	0.1618749522
473	0.1617779302
474	0.1617123081
475	0.1616318921
476	0.1615412024
477	0.1614560063
478	0.1613982126
479	0.1613261663
480	0.1612544444
481	0.1611750401
482	0.1610806407
483	0.161016397
484	0.1609610326
485	0.1608642679
486	0.1608086478
487	0.1607691685
488	0.1606843587
489	0.1605988308
490	0.1604935076
491	0.1603983723
492	0.1603214625
493	0.1602329681
494	0.1601682013
495	0.1600641036
496	0.160017477
497	0.1598897286
498	0.1597553463
499	0.1596557038
500	0.1595475896
501	0.1594694848
502	0.1594206301
503	0.159353926
504	0.1592881505
505	0.1592190013
506	0.1591215309
507	0.1589926991
508	0.1589033811
509	0.1588214615
510	0.1587676743
511	0.158691401
512	0.1585985383
513	0.158485986
514	0.1584004338
515	0.1583239799
516	0.158267309
517	0.1582074836
518	0.1581235068
519	0.158031024
520	0.1579714409
521	0.1578941288
522	0.1578198213
523	0.1577333961
524	0.1576466685
525	0.1575515317
526	0.1574562508
527	0.1574126503
528	0.1573278098
529	0.1572659918
530	0.1571991211
531	0.1571188435
532	0.1570299123
533	0.156981489
534	0.1569141539
535	0.1568399235
536	0.1567751893
537	0.1566811864
538	0.1566063087
539	0.1565425355
540	0.1564934726
541	0.1564200724
542	0.1562897199
543	0.1562112966
544	0.1561353958
545	0.1560364721
546	0.1559633551
547	0.1558517213
548	0.1557460215
549	0.1556518966
550	0.155597599
551	0.1555096907
552	0.1554391726
553	0.1553451652
554	0.1552678872
555	0.1552335862
556	0.1551440719
557	0.1550437439
558	0.1550003007
559	0.1549467125
560	0.1548446986
561	0.1547763115
562	0.1547361505
563	0.1546859076
564	0.1546110982
565	0.1545500956
566	0.1544603295
567	0.1544233654
568	0.1543251429
569	0.1542751344
570	0.1542109468
571	0.1541339195
572	0.1540652257
573	0.1540082754
574	0.1539357957
575	0.1538686636
576	0.1538011563
577	0.1537402501
578	0.1536812741
579	0.1536061655
580	0.1535479518
581	0.153465211
582	0.1533891215
583	0.1533203406
584	0.1532624968
585	0.1531938288
586	0.1530932493
587	0.1530107865
588	0.1528957053
589	0.1528314293
590	0.152718279
591	0.1526619602
592	0.1525892269
593	0.1525367528
594	0.1524589199
595	0.1523795708
596	0.1523089941
597	0.1522397364
598	0.152129913
599	0.1520624708
600	0.1519550252
601	0.1518669706
602	0.1518062379
603	0.1517307701
604	0.1516432506
605	0.1515727278
606	0.1515049223
607	0.1514175589
608	0.151392351
609	0.1513440209
610	0.1512796283
611	0.1511969297
612	0.1511207988
613	0.1510325804
614	0.150980665
615	0.1508982388
616	0.1508154721
617	0.1507484876
618	0.1507022263
619	0.1506490924
620	0.1506066559
621	0.1505522493
622	0.1505073661
623	0.1504375995
624	0.1503556313
625	0.1502543308
626	0.1501598241
627	0.1501114412
628	0.1500362881
629	0.1499820301
630	0.1499335855
631	0.1498900718
632	0.1498098505
633	0.1497561392
634	0.1497013352
635	0.149663767
636	0.1495797904
637	0.1494736586
638	0.14939248
639	0.1493238886
640	0.1492606622
641	0.1491896879
642	0.1491393777
643	0.1490992799
644	0.1490570749
645	0.1490056359
646	0.1489256644
647	0.1488525715
648	0.1487745194
649	0.1486776103
650	0.1486083904
651	0.1485189335
652	0.1484587592
653	0.1484054856
654	0.1483293705
655	0.1482499028
656	0.1481870983
657	0.1481327712
658	0.1480538303
659	0.1479908613
660	0.1479472052
661	0.147872593
662	0.1478172959
663	0.1477465177
664	0.1476258808
665	0.1475395653
666	0.147488447
667	0.1474179972
668	0.1473175625
669	0.1472417976
670	0.1471324393
671	0.1470655561
672	0.1469733351
673	0.1469115252
674	0.1468548839
675	0.1468015117
676	0.1467442928
677	0.1466494938
678	0.1465571405
679	0.1464967436
680	0.1464325987
681	0.14634783
682	0.1462832256
683	0.1462281608
684	0.1461807394
685	0.1460930282
686	0.1460587244
687	0.1460063522
688	0.1459388658
689	0.1458544932
690	0.1457726313
691	0.1457156015
692	0.1456858971
693	0.1456162692
694	0.1455683558
695	0.1455117522
696	0.1454534489
697	0.1453824089
698	0.1452965621
699	0.1452134803
700	0.1451762969
701	0.1450796279
702	0.1449873791
703	0.1449137899
704	0.1448501624
705	0.1447865402
706	0.1447242847
707	0.1446427864
708	0.1446080447
709	0.1445340403
710	0.1444480766
711	0.1443701849
712	0.1442937102
713	0.1442346194
714	0.1441704438
715	0.1440929562
716	0.144019977
717	0.1439324873
718	0.1438742745
719	0.1437795294
720	0.1437081488
721	0.1436406401
722	0.1436010069
723	0.1435423851
724	0.143473103
725	0.1434252794
726	0.1433598862
727	0.1432912114
728	0.143222959
729	0.1431565683
730	0.1430815009
731	0.1430368493
732	0.1429957105
733	0.1429296368
734	0.1428683409
735	0.1427913178
736	0.1427404732
737	0.1426091497
738	0.1425673756
739	0.142494234
740	0.1424254747
741	0.1423782545
742	0.1423304591
743	0.1422522919
744	0.142195042
745	0.1421590319
746	0.142107296
747	0.1420612263
748	0.1420139891
749	0.1419412752
750	0.1418757043
751	0.1417994726
752	0.1417315997
753	0.1416833202
754	0.1415804574
755	0.1415024159
756	0.1414518423
757	0.1413905528
758	0.1413346505
759	0.1412866017
760	0.1412500157
761	0.141190295
762	0.1411142934
763	0.1410566843
764	0.1410072011
765	0.1409584173
766	0.1408577448
767	0.1408028852
768	0.1407218245
769	0.1406643435
770	0.1406257645
771	0.1405861544
772	0.140518905
773	0.1404615804
774	0.1404054827
775	0.1403684807
776	0.1403043438
777	0.1402619084
778	0.140170196
779	0.140118418
780	0.1400437552
781	0.1399938064
782	0.1399148287
783	0.1398574882
784	0.139800584
785	0.1397523024
786	0.139688049
787	0.1396612181
788	0.1395896497
789	0.139524388
790	0.1394717293
791	0.1393777769
792	0.1393337779
793	0.1392554223
794	0.1391939316
795	0.1391037778
796	0.139007597
797	0.1389598092
798	0.1389059935
799	0.1388662084
800	0.1388353021
801	0.1387839594
802	0.1387375369
803	0.138621267
804	0.1385279822
805	0.1384757621
806	0.1384003588
807	0.1383351046
808	0.1382589662
809	0.1381596619
810	0.1380985553
811	0.138049945
812	0.1379932687
813	0.1379271005
814	0.1378557723
815	0.137809502
816	0.1377671837
817	0.137718834
818	0.1376622343
819	0.1375829957
820	0.1375246933
821	0.1374772108
822	0.1374359955
823	0.1373695511
824	0.1373300213
825	0.1372668264
826	0.1372245888
827	0.1371868311
828	0.1371272357
829	0.1370598377
830	0.1370253625
831	0.1369713213
832	0.1368939015
833	0.1368175855
834	0.1367848295
835	0.1367288896
836	0.1366928752
837	0.1366527557
838	0.1365952408
839	0.1365522577
840	0.1364904258
841	0.1364415155
842	0.1363894358
843	0.1363474139
844	0.136245392
845	0.1361955406
846	0.1361315926
847	0.1361064671
848	0.136043374
849	0.1360049478
850	0.1359582919
851	0.1359214099
852	0.1358762146
853	0.1358218237
854	0.1357767304
855	0.13572932
856	0.1356787531
857	0.1356144414
858	0.1355649706
859	0.1354997428
860	0.1354401042
861	0.1354130182
862	0.1353513683
863	0.1353059704
864	0.1352494416
865	0.1352031101
866	0.1351663011
867	0.135108775
868	0.135039457
869	0.1349691846
870	0.1349072513
871	0.1348387505
872	0.1347524608
873	0.1347194254
874	0.1346449846
875	0.1345965568
876	0.13452496
877	0.1344500545
878	0.1344102158
879	0.1343642158
880	0.1342526575
881	0.1342076807
882	0.1341133565
883	0.134059016
884	0.1340164827
885	0.1339551999
886	0.133896086
887	0.1338403555
888	0.1338053077
889	0.1337377822
890	0.1336945779
891	0.1336244656
892	0.1335793528
893	0.1335470343
894	0.1335020917
895	0.1333833487
896	0.1333213437
897	0.1332603952
898	0.1332295871
899	0.1331692774
900	0.133119452
901	0.1330602165
902	0.1330252243
903	0.1329388353
904	0.1328878814
905	0.1328214713
906	0.1327566279
907	0.1326977908
908	0.1326554167
909	0.1325976399
910	0.1325319512
911	0.132482548
912	0.1324273449
913	0.132325248
914	0.1322684461
915	0.1322114991
916	0.1321393433
917	0.1321043388
918	0.1320519697
919	0.1319808876
920	0.131927007
921	0.1318636345
922	0.1318209206
923	0.1317675937
924	0.1317058672
925	0.1316554139
926	0.1315953862
927	0.1315096928
928	0.1314288176
929	0.1313650955
930	0.1313121069
931	0.1312753586
932	0.131192887
933	0.1311395804
934	0.1311045993
935	0.1310556172
936	0.1310085132
937	0.1309360712
938	0.1308785586
939	0.1308358559
940	0.1307824519
941	0.1307339565
942	0.1306459291
943	0.1306098457
944	0.1305417209
945	0.1304767483
946	0.130407305
947	0.1303368978
948	0.1302959386
949	0.1302511939
950	0.130190235
951	0.130153693
952	0.1300996189
953	0.1300702918
954	0.1300288378
955	0.1299755722
956	0.1299476092
957	0.1298313149
958	0.1297804486
959	0.1297262034
960	0.1296740653
961	0.1296001371
962	0.1295437846
963	0.1294724047
964	0.1293988433
965	0.1293508958
966	0.12930505
967	0.1292467301
968	0.1291988096
969	0.1291253221
970	0.1290649011
971	0.129016423
972	0.1289712021
973	0.1289021651
974	0.1288340029
975	0.1287806557
976	0.128738361
977	0.1286885257
978	0.1286288482
979	0.1285985412
980	0.1285595028
981	0.1285115381
982	0.1284708343
983	0.1284265148
984	0.1283257315
985	0.1282777246
986	0.1281652623
987	0.1281295805
988	0.1280938734
989	0.1280241177
990	0.1279829933
991	0.1279381762
992	0.1278765447
993	0.1278205407
994	0.1277303323
995	0.1276642555
996	0.1275734871
997	0.1275446353
998	0.1275002121
999	0.1274270834
