number,value,datetime_start,datetime_complete,duration,params_clf_depth,params_clf_iterations,params_clf_l2,params_clf_lr,params_n_components,params_reg_depth,params_reg_iterations,params_reg_l2,params_reg_lr,state
25,0.9931848303498462,2026-01-10 01:14:23.431064,2026-01-10 01:14:44.948984,0 days 00:00:21.517920,7,400,8.005354004623655,0.05890394325104343,2,7,1100,7.232064699395364,0.03853205358448665,COMPLETE
26,0.9923203797939761,2026-01-10 01:14:44.952021,2026-01-10 01:15:07.464163,0 days 00:00:22.512142,6,400,7.648080105691558,0.058707588570926714,2,7,1200,7.575553905789882,0.05321120375525942,COMPLETE
27,0.9892086708964302,2026-01-10 01:15:07.467065,2026-01-10 01:15:29.494746,0 days 00:00:22.027681,7,400,8.681439388861648,0.04515363976041664,2,7,1100,6.485441231867458,0.024000826879902876,COMPLETE
28,-999.0,2026-01-10 01:15:29.498223,2026-01-10 01:15:29.719045,0 days 00:00:00.220822,5,400,7.417220597433448,0.060684260050722576,3,6,700,7.491418065240623,0.03521081704187897,COMPLETE
29,-999.0,2026-01-10 01:15:29.722519,2026-01-10 01:15:29.932261,0 days 00:00:00.209742,6,600,6.352069163020447,0.08007523868766456,3,7,900,5.260744488102176,0.04689637797278299,COMPLETE
30,0.9894820232614289,2026-01-10 01:15:29.935189,2026-01-10 01:16:01.461257,0 days 00:00:31.526068,7,400,8.68380761025988,0.04160648666440438,2,8,1100,6.042002955199831,0.06109812988429356,COMPLETE
31,0.9931366554283733,2026-01-10 01:16:01.462517,2026-01-10 01:16:11.593373,0 days 00:00:10.130856,8,700,7.264830438554974,0.0856550834875567,2,5,1000,4.484657274562485,0.032305721972402605,COMPLETE
32,0.9936685352402499,2026-01-10 01:16:11.594816,2026-01-10 01:16:20.213802,0 days 00:00:08.618986,8,700,7.2896492718834125,0.07225588828358437,2,5,1200,4.9318113593886315,0.03555425910033432,COMPLETE
33,0.9939570481213673,2026-01-10 01:16:20.215174,2026-01-10 01:16:33.831565,0 days 00:00:13.616391,7,600,7.291654156668404,0.06961808586784157,2,5,1200,6.924480718689354,0.03971745032443033,COMPLETE
34,0.9937969306275796,2026-01-10 01:16:33.843493,2026-01-10 01:16:53.535598,0 days 00:00:19.692105,8,500,7.329601187025563,0.06734282157002482,2,6,1200,6.89549407248296,0.03905691271788356,COMPLETE
35,0.9911049627496833,2026-01-10 01:16:53.536719,2026-01-10 01:17:01.413342,0 days 00:00:07.876623,7,500,8.4020179583777,0.03406344299417005,2,6,1200,6.91183191385366,0.039118339794195336,COMPLETE
36,-999.0,2026-01-10 01:17:01.414680,2026-01-10 01:17:01.488583,0 days 00:00:00.073903,6,500,9.092586473331197,0.06739869176866538,4,7,1200,8.034506294744427,0.06742067979304214,COMPLETE
37,-999.0,2026-01-10 01:17:01.490418,2026-01-10 01:17:01.592718,0 days 00:00:00.102300,8,300,7.93041460024841,0.046215173314306655,3,6,1200,7.9306474090498025,0.04970882547307742,COMPLETE
38,0.990976913489483,2026-01-10 01:17:01.595026,2026-01-10 01:17:11.481294,0 days 00:00:09.886268,7,400,9.85991013976729,0.05830263704890822,2,7,1200,6.91965323168451,0.027579608790061213,COMPLETE
39,-999.0,2026-01-10 01:17:11.482623,2026-01-10 01:17:11.573227,0 days 00:00:00.090604,6,600,9.2374619471755,0.02977264174248831,3,6,1200,9.446245218304677,0.05536277936420202,COMPLETE
40,0.9922462306392317,2026-01-10 01:17:11.575116,2026-01-10 01:17:26.575597,0 days 00:00:15.000481,8,500,7.24009042292556,0.037702626099188764,2,8,1100,6.168388014074184,0.046232474923307704,COMPLETE
41,0.9938797986785022,2026-01-10 01:17:26.576600,2026-01-10 01:17:34.880231,0 days 00:00:08.303631,8,700,7.67117104388114,0.07399544989781737,2,5,1100,3.6446016357383746,0.03819057675433171,COMPLETE
42,0.9940413285105478,2026-01-10 01:17:34.881371,2026-01-10 01:17:43.378866,0 days 00:00:08.497495,8,600,7.827789149776824,0.07225754606181832,2,5,1200,3.513407297332157,0.03689263525635641,COMPLETE
43,0.9945631018461628,2026-01-10 01:17:43.379944,2026-01-10 01:17:52.297364,0 days 00:00:08.917420,8,700,7.647615747840369,0.07259124980111321,2,5,1200,3.6319548423813863,0.04355806897174327,COMPLETE
44,0.9947351873466762,2026-01-10 01:17:52.298434,2026-01-10 01:18:00.754267,0 days 00:00:08.455833,8,600,7.723889355853697,0.06417876302438968,2,5,1200,2.916051427212048,0.06465823492312774,COMPLETE
45,0.9941883983515004,2026-01-10 01:18:00.755426,2026-01-10 01:18:06.690925,0 days 00:00:05.935499,8,600,8.369564009502193,0.08589184668192965,2,5,500,3.2632467985805,0.09441832251892093,COMPLETE
46,-999.0,2026-01-10 01:18:06.692056,2026-01-10 01:18:06.781172,0 days 00:00:00.089116,8,600,8.633594542609117,0.08471280315513333,3,5,500,3.1126766549161218,0.09429775520599534,COMPLETE
47,0.9941908667048885,2026-01-10 01:18:06.783221,2026-01-10 01:18:13.139553,0 days 00:00:06.356332,8,600,8.25375367572589,0.06404595071706845,2,5,600,2.7642670188740395,0.08356391256239752,COMPLETE
48,0.9934357902943806,2026-01-10 01:18:13.140614,2026-01-10 01:18:19.170304,0 days 00:00:06.029690,8,600,9.552522597789896,0.06160227511837872,2,5,500,3.1221836057703527,0.08310787278782798,COMPLETE
49,0.982756672320058,2026-01-10 01:18:19.171374,2026-01-10 01:18:23.466351,0 days 00:00:04.294977,4,800,8.383410880742654,0.02143416357952006,2,5,600,2.6914185887011426,0.0683166354088824,COMPLETE
