feature,importance
feat_184^2,16.440233680274783
feat_64,15.289976611516382
feat_64^2,13.354223494356647
feat_155^2,12.81053437767309
feat_155,9.020335693053678
feat_184,5.6134368525263225
feat_143 feat_221,3.219976256644266
feat_155 feat_184,2.6647875822209146
feat_232^2,1.8916975130940754
feat_253^2,1.8413619088547466
feat_253,1.7947171071210897
feat_232 feat_253,1.5467864852888764
feat_232,0.824492501814521
feat_184 feat_64,0.621577553934037
feat_155 feat_64,0.516461028381604
feat_220 feat_138,0.4787832299799691
feat_220 feat_160,0.4602258147504723
feat_160 feat_266,0.4397532250743974
feat_220^2,0.43007612682139296
feat_184 feat_138,0.3889379258021419
feat_232 feat_221,0.37600416332806863
feat_220 feat_47,0.33951294080949085
feat_232 feat_160,0.3092089956113859
feat_184 feat_220,0.293098682676386
feat_184 feat_253,0.29304874163980293
feat_220 feat_203,0.271435153932605
feat_253 feat_220,0.2372382206293706
feat_253 feat_266,0.22556662420924695
feat_220 feat_266,0.21020430680679678
feat_253 feat_221,0.20349654027328692
feat_64 feat_232,0.1964643571723548
feat_143,0.19620715827144206
feat_220,0.18621629657613398
feat_232 feat_47,0.18077449660248765
feat_232 feat_220,0.17994695839073505
feat_155 feat_232,0.17563700928974063
feat_184 feat_232,0.17488054945454895
feat_232 feat_143,0.1730835045131398
feat_266,0.17059142269026178
feat_221^2,0.16474603397042514
feat_64 feat_220,0.16409878110974804
feat_160 feat_203,0.16407654403715147
feat_184 feat_266,0.1622810519618453
feat_64 feat_253,0.1458398145342584
feat_64 feat_143,0.14367508655409997
feat_266 feat_203,0.14356754981017222
feat_155 feat_47,0.14249195165301795
feat_155 feat_253,0.13985979677630844
feat_184 feat_47,0.1364031944855742
feat_155 feat_220,0.13481158798659124
feat_232 feat_138,0.13062340932415142
feat_221 feat_220,0.13047587157208693
feat_253 feat_160,0.13037569760694634
feat_155 feat_221,0.12884533832191924
feat_155 feat_143,0.1252116985423579
feat_64 feat_266,0.12086898285775882
feat_138 feat_203,0.11531953905487058
feat_266 feat_138,0.11335920658502545
feat_138 feat_47,0.11011723227745257
feat_253 feat_143,0.10534730949862221
feat_266^2,0.1048147963250439
feat_253 feat_47,0.10398693994086763
feat_160 feat_138,0.10193108159196215
feat_253 feat_138,0.100104291659531
feat_64 feat_160,0.09969974210601475
feat_47 feat_203,0.09911003201179723
feat_232 feat_203,0.09735798970709068
feat_160 feat_47,0.09589685193739722
feat_155 feat_203,0.09429068881839046
feat_184 feat_143,0.09374818364867031
feat_143 feat_266,0.09029000353791716
feat_184 feat_160,0.08863187636818178
feat_155 feat_160,0.08624671448126661
feat_64 feat_138,0.08396949756996813
feat_143 feat_220,0.08368786830054524
feat_253 feat_203,0.07994578291085981
feat_221 feat_138,0.0787292792211369
feat_184 feat_203,0.07653525034373955
feat_184 feat_221,0.07607428623706793
feat_64 feat_221,0.07320774568258394
feat_64 feat_47,0.07295995814464962
feat_143 feat_47,0.07245080075488065
feat_138,0.06928361709475588
feat_138^2,0.0675324996745367
feat_47,0.0669039603701299
feat_232 feat_266,0.06313364952268986
feat_203,0.05771870063894192
feat_221 feat_47,0.05705943843497532
feat_160^2,0.056474007258133806
feat_64 feat_203,0.05543224327221895
feat_266 feat_47,0.054396798445787306
feat_221,0.05308967432798176
feat_221 feat_266,0.052739850931587104
feat_221 feat_160,0.050676068849209936
feat_143 feat_138,0.05062712131893239
feat_143 feat_160,0.05005771355214746
feat_47^2,0.0484431437277083
feat_155 feat_138,0.048212047738717914
feat_155 feat_266,0.047834810941702326
feat_160,0.046398238106220444
feat_143^2,0.04449730296224837
feat_143 feat_203,0.04223565851029391
feat_221 feat_203,0.038375747417174734
feat_203^2,0.0318212750232496
