feature,importance
feat_155,15.862512806640531
feat_64^2,14.489227755422075
feat_155^2,11.948037201107443
feat_184,10.996524507632284
feat_184^2,10.947292628852933
feat_64,8.412206395819931
feat_143 feat_221,3.655523050962691
feat_155 feat_184,3.1871765313554263
feat_253^2,2.9287443539645994
feat_220,2.319987902838299
feat_232^2,2.2929016090330623
feat_253,1.9802633025354572
feat_184 feat_64,1.9067501348843119
feat_232,1.745286968222498
feat_232 feat_253,1.5659762264482069
feat_155 feat_64,1.4770060744408815
feat_160,0.9381944939984248
feat_266,0.8792229521040938
feat_47,0.5721194061535053
feat_138,0.5648080981183147
feat_203,0.5148326501956971
feat_221,0.4177352174307469
feat_143,0.3976697318385958
