feature,mean,std,min,max,cv_coef
feat_64,29.565725955062113,0.7020690922552738,28.51845171782109,30.481043065592583,0.023746046125245526
feat_155,26.334982518367525,1.1915257236441492,24.803900406860905,27.98741857934015,0.045244978720343214
feat_184,23.929474203741208,1.3520279932813883,22.012354347257958,25.429509889939332,0.056500530758423775
feat_253,4.2323426368015555,0.2853038341636302,3.854469652296077,4.516884176294216,0.06741038206189245
feat_232,4.16157038116233,0.22821536158291436,3.8892025639039662,4.512109471334383,0.054838760535193355
feat_221,2.9038372868003997,0.16925153996406433,2.694365348755906,3.0853508283769093,0.05828547650841503
feat_143,2.5764585125901656,0.23208306527593905,2.306065763021404,2.944439342901216,0.09007832423531682
feat_220,2.2359916019500763,0.07255671741217799,2.132822614810386,2.3180935246392607,0.03244945882126707
feat_160,1.0142523996189143,0.08798158897307023,0.9400892200138281,1.1552412918286046,0.0867452608503836
feat_266,0.9878483442458729,0.06892286656748313,0.9135635744220528,1.059384032005926,0.06977069604757916
feat_138,0.7477303495143582,0.09030400669202944,0.6633070011567267,0.8941666060860086,0.12077081898665848
feat_47,0.6575554957139735,0.07009185676186921,0.5850224146172712,0.7370503915520104,0.10659458740552917
feat_203,0.6522303144314987,0.04775588705880228,0.5858332363697631,0.7064751779484956,0.07321936132396357
